last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate
Frazier, Adam,2019,0.275,0.399,0.315,0.334,0.121,86.3,12.1,1.9
Trevino, Jose,2019,0.252,0.362,0.266,0.268,0.107,86.3,7.8,2.1
McGuire, Reese,2019,0.268,0.402,0.309,0.317,0.129,86,13.8,3.8
Puig, Yasiel,2019,0.266,0.464,0.334,0.327,0.196,89.9,14.2,9.6
Soler, Jorge,2019,0.277,0.593,0.392,0.365,0.314,92.6,15.4,16.9
Heredia, Guillermo,2019,0.248,0.346,0.298,0.327,0.097,85.5,12.5,2.7
Kang, Jung Ho,2019,0.215,0.425,0.29,0.265,0.209,92.2,13.7,11.5
Ervin, Phillip,2019,0.234,0.37,0.295,0.302,0.134,85.1,14.5,5.1
Frazier, Clint,2019,0.245,0.459,0.315,0.298,0.213,88.4,15.4,10.8
Meadows, Austin,2019,0.284,0.547,0.372,0.358,0.261,90.4,16.7,12.5
Mercado, Oscar,2019,0.262,0.403,0.308,0.313,0.139,86.5,13.4,4.1
Pinder, Chad,2019,0.254,0.441,0.315,0.304,0.186,90.5,8.8,8.2
Anderson, Tim,2019,0.294,0.461,0.328,0.318,0.164,88.3,8.7,5.1
Bauers, Jake,2019,0.224,0.352,0.29,0.312,0.126,87.5,14.6,5
Bellinger, Cody,2019,0.323,0.638,0.429,0.423,0.314,90.7,17.6,13
Calhoun, Willie,2019,0.268,0.452,0.33,0.325,0.183,89.7,17.6,6.2
Collins, Zack,2019,0.195,0.437,0.317,0.315,0.239,90.7,15.3,14.9
Cordell, Ryan,2019,0.213,0.358,0.274,0.283,0.143,85.9,16.7,6.5
Crawford, J.P.,2019,0.237,0.337,0.294,0.325,0.097,84.3,11.4,3.4
Demeritte, Travis,2019,0.229,0.357,0.279,0.291,0.126,90.7,15.6,3.7
Dixon, Brandon,2019,0.24,0.442,0.306,0.285,0.201,89.5,17,11.2
Dozier, Hunter,2019,0.261,0.471,0.337,0.333,0.208,91.1,16.7,10
Engel, Adam,2019,0.225,0.342,0.275,0.288,0.112,84.1,10,5.3
Garver, Mitch,2019,0.256,0.573,0.38,0.35,0.316,91.1,15.3,15.5
Hampson, Garrett,2019,0.227,0.329,0.265,0.283,0.099,83.2,11.1,3.7
Locastro, Tim,2019,0.238,0.305,0.301,0.348,0.063,83.4,12.3,1.2
Mancini, Trey,2019,0.283,0.511,0.364,0.359,0.224,90.3,7.8,10.3
McKinney, Billy,2019,0.229,0.374,0.285,0.288,0.145,85.9,14.6,6.6
McMahon, Ryan,2019,0.245,0.429,0.322,0.325,0.182,91.4,8.4,9
O'Neill, Tyler,2019,0.222,0.396,0.284,0.274,0.173,89.2,19.7,8
Sisco, Chance,2019,0.223,0.418,0.332,0.344,0.194,89,15.9,10.4
Smith, Dominic,2019,0.246,0.445,0.327,0.323,0.196,88,14.8,7.5
Tellez, Rowdy,2019,0.251,0.476,0.332,0.317,0.223,90.7,14,13.2
Thaiss, Matt,2019,0.212,0.367,0.287,0.293,0.153,88.7,15.3,6.3
VanMeter, Josh,2019,0.243,0.417,0.324,0.332,0.17,89.7,16,4
Wade, Tyler,2019,0.226,0.336,0.285,0.313,0.108,83.5,9.2,5.9
Mejia, Francisco,2019,0.229,0.381,0.285,0.283,0.15,87.8,19.1,4.7
Rosario, Amed,2019,0.291,0.423,0.32,0.328,0.13,89.2,8.8,4.2
Adames, Willy,2019,0.249,0.433,0.315,0.312,0.182,87.8,10,8.4
Benintendi, Andrew,2019,0.267,0.461,0.34,0.344,0.192,88.6,17.3,8.1
Cooper, Garrett,2019,0.269,0.464,0.34,0.336,0.192,89.1,4.5,9.6
Dubon, Mauricio,2019,0.249,0.359,0.277,0.282,0.109,84.8,9.5,2.3
Jansen, Danny,2019,0.247,0.418,0.314,0.316,0.17,88.7,16.1,5.9
Kemp, Tony,2019,0.207,0.293,0.262,0.29,0.083,84.3,13,1.5
Kiner-Falefa, Isiah,2019,0.225,0.3,0.258,0.287,0.072,86.9,6.5,1.3
Long, Shed,2019,0.215,0.333,0.271,0.29,0.117,87.6,10.6,6.3
McNeil, Jeff,2019,0.29,0.472,0.355,0.36,0.178,88.4,13.2,4.8
Tauchman, Mike,2019,0.248,0.412,0.323,0.336,0.162,88.5,11.5,6.3
White, Tyler,2019,0.202,0.306,0.274,0.305,0.101,86.1,12.6,3.6
Albies, Ozzie,2019,0.291,0.49,0.351,0.348,0.197,88.8,15.6,6.6
Robles, Victor,2019,0.233,0.37,0.292,0.307,0.134,81,14.5,4.8
Ford, Mike,2019,0.284,0.496,0.365,0.371,0.211,91.9,15.6,9.6
Devers, Rafael,2019,0.295,0.519,0.36,0.347,0.223,92.1,10.3,9
Naylor, Josh,2019,0.241,0.378,0.297,0.308,0.132,89.6,4.5,6.3
Diaz, Aledmys,2019,0.268,0.423,0.339,0.36,0.153,88.3,12.2,6.4
Urias, Luis,2019,0.229,0.352,0.304,0.334,0.121,86.7,9.5,4.4
Arraez, Luis,2019,0.29,0.41,0.336,0.361,0.116,86.9,11.4,2.7
Jimenez, Eloy,2019,0.268,0.521,0.349,0.318,0.251,91.2,9.3,12.8
Torres, Gleyber,2019,0.262,0.497,0.341,0.324,0.233,89,17.4,10.1
Castro, Willi,2019,0.208,0.296,0.246,0.265,0.087,83.2,17,1.5
Diaz, Yandy,2019,0.284,0.491,0.358,0.358,0.204,91.7,5.7,10.4
Viloria, Meibrys,2019,0.179,0.234,0.211,0.233,0.053,85,2.3,1.1
Rengifo, Luis,2019,0.236,0.365,0.303,0.321,0.126,86.7,9.1,6
Allen, Greg,2019,0.236,0.341,0.282,0.297,0.102,85.3,7.1,2.7
Chapman, Matt,2019,0.255,0.505,0.36,0.347,0.248,92.6,16.3,12.3
Chavis, Michael,2019,0.222,0.413,0.298,0.293,0.19,88.8,12,11.4
Diaz, Isan,2019,0.183,0.321,0.258,0.267,0.136,87.7,17.3,7.4
Haseley, Adam,2019,0.223,0.331,0.266,0.284,0.106,87,4.7,3.7
Hoskins, Rhys,2019,0.221,0.426,0.342,0.363,0.203,89.7,24,9.7
Luplow, Jordan,2019,0.248,0.468,0.348,0.349,0.218,89.3,15.7,12.1
O'Hearn, Ryan,2019,0.227,0.411,0.308,0.311,0.182,90.5,13,9.1
Schwarber, Kyle,2019,0.267,0.553,0.375,0.356,0.284,92.7,15,14.5
Tucker, Cole,2019,0.247,0.37,0.285,0.299,0.121,87,6.6,4.6
Verdugo, Alex,2019,0.288,0.452,0.331,0.338,0.162,89.4,8.8,5.7
DeJong, Paul,2019,0.237,0.439,0.325,0.323,0.201,87,18.5,8.6
Laureano, Ramon,2019,0.274,0.487,0.342,0.33,0.211,89.5,14.8,9.7
Moncada, Yoan,2019,0.291,0.524,0.362,0.346,0.231,92.8,12,12.2
Ohtani, Shohei,2019,0.282,0.486,0.349,0.341,0.201,92.8,6.8,12.2
Acuna Jr., Ronald,2019,0.279,0.572,0.386,0.365,0.29,90.6,14.2,15
Riley, Austin,2019,0.225,0.456,0.305,0.281,0.23,89.4,20.6,13.7
Grisham, Trent,2019,0.227,0.365,0.302,0.324,0.137,87.6,16,5.4
Lowe, Nate,2019,0.256,0.454,0.326,0.319,0.197,91.3,13,10.6
Happ, Ian,2019,0.256,0.526,0.353,0.327,0.267,89.3,15.5,13.7
France, Ty,2019,0.233,0.393,0.293,0.294,0.159,88.9,15.1,5.9
Lowe, Brandon,2019,0.244,0.507,0.346,0.315,0.262,91.1,18.7,16.3
Bader, Harrison,2019,0.219,0.408,0.316,0.328,0.186,86.6,13.2,9.9
Fletcher, David,2019,0.302,0.38,0.323,0.361,0.076,83.7,9.8,0.4
Kingery, Scott,2019,0.247,0.435,0.314,0.306,0.187,88.2,17.5,8
Moore, Dylan,2019,0.193,0.338,0.277,0.291,0.143,87.5,18.5,6.5
Straw, Myles,2019,0.26,0.339,0.321,0.371,0.074,83.7,7.7,1.2
Tatis Jr., Fernando,2019,0.259,0.49,0.345,0.329,0.229,89.6,6.9,13.2
Guerrero Jr., Vladimir,2019,0.263,0.437,0.33,0.332,0.17,89.4,6.7,7.7
Soto, Juan,2019,0.285,0.576,0.407,0.404,0.288,91.3,12,12.3
Bichette, Bo,2019,0.273,0.472,0.335,0.323,0.196,89.6,10.3,8.8
Gurriel Jr., Lourdes,2019,0.258,0.51,0.342,0.313,0.25,90.2,14.1,11.2
Rogers, Jake,2019,0.125,0.22,0.204,0.222,0.095,81.4,20.3,4.8
Reynolds, Bryan,2019,0.296,0.476,0.357,0.363,0.179,89.6,9.4,6.7
Rojas, Josh,2019,0.241,0.416,0.326,0.333,0.171,89,10.3,6.2
Senzel, Nick,2019,0.243,0.409,0.303,0.304,0.163,87.5,11,8
Edman, Tommy,2019,0.287,0.441,0.33,0.334,0.152,87.1,14.1,5.3
Solak, Nick,2019,0.258,0.433,0.343,0.362,0.17,88.3,6.3,9.2
Smith, Will,2019,0.225,0.452,0.323,0.315,0.227,89.5,23.7,10.7
Hiura, Keston,2019,0.266,0.53,0.36,0.335,0.263,91.4,16,13.9
Lopez, Nicky,2019,0.24,0.298,0.251,0.276,0.055,83.8,2.3,1.5
Alvarez, Yordan,2019,0.289,0.602,0.41,0.394,0.312,92.2,13.4,17.2
Brosseau, Michael,2019,0.215,0.36,0.271,0.265,0.141,86,14.1,4.3
