"last_name, first_name","player_id","year","xba","xslg","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","barrel_batted_rate"
"Sparkman, Glenn","642098","2019",".288",".513",".362",".344",".225","90.8","14.2",7.7
"Trivino, Lou","642152","2019",".221",".338",".294",".321",".117","86.9","16",3.9
"Yarbrough, Ryan","642232","2019",".250",".390",".291",".289",".140","84.9","15.2",7
"Soto, Gregory","642397","2019",".290",".499",".374",".376",".208","91.1","8.4",10.1
"Barria, Jaime","642545","2019",".267",".521",".356",".327",".254","89.9","18.6",10.7
"Peralta, Freddy","642547","2019",".222",".412",".306",".302",".189","90.1","18.7",9.6
"Jurado, Ariel","642558","2019",".293",".520",".367",".346",".227","90","9.6",10
"Agrazal, Dario","642607","2019",".273",".476",".346",".336",".203","87.3","14.8",6.7
"Brault, Steven","643230","2019",".255",".435",".336",".345",".180","90.5","10.2",6.1
"Fry, Paul","643316","2019",".231",".357",".310",".338",".126","88","2.9",4.8
"Godley, Zack","643327","2019",".276",".478",".360",".361",".202","89.5","11.6",8.3
"Green, Chad","643338","2019",".236",".422",".311",".303",".186","91.9","17.2",11.6
"Alcantara, Sandy","645261","2019",".244",".424",".322",".325",".180","87.3","11.8",6.5
"Soroka, Michael","647336","2019",".258",".391",".305",".310",".133","88.2","6.7",5.1
"Castillo, Diego","650895","2019",".196",".323",".266",".283",".127","87.9","8",5.6
"Beeks, Jalen","656222","2019",".273",".445",".342",".349",".171","88.5","10.1",7.4
"Canning, Griffin","656288","2019",".221",".405",".303",".298",".184","87.9","17.4",7.6
"Cease, Dylan","656302","2019",".242",".422",".323",".327",".180","87.9","12.1",7.7
"Flaherty, Jack","656427","2019",".215",".366",".279",".278",".151","86.6","15.5",6.9
"Hoffman, Jeff","656546","2019",".284",".557",".386",".371",".273","90.3","16.2",12.9
"Martin, Brett","656685","2019",".266",".420",".322",".323",".153","89.8","6.3",5.6
"Newcomb, Sean","656794","2019",".238",".376",".305",".322",".138","87.3","11.6",4.6
"Yamamoto, Jordan","657141","2019",".228",".381",".309",".326",".152","90","16.9",6.4
"James, Josh","657624","2019",".170",".284",".265",".293",".113","89.7","16.9",4.7
"Lamet, Dinelson","659275","2019",".219",".386",".300",".306",".167","88.2","16.3",8.1
"Suarez, José","660761","2019",".269",".474",".353",".353",".205","88.7","16.7",8.8
"Thornton, Trent","663423","2019",".256",".430",".327",".329",".174","88.2","16.8",7.4
"Lambert, Peter","663567","2019",".297",".486",".364",".368",".188","89.8","7.4",6.2
"Paddack, Chris","663978","2019",".217",".385",".279",".268",".168","87.8","15.7",7.1
"Lucchesi, Joey","664192","2019",".227",".390",".297",".294",".163","88.3","11.4",7.2
"Clarke, Taylor","664199","2019",".257",".511",".353",".328",".255","89.3","16",12.1
"Valdez, Framber","664285","2019",".243",".363",".321",".352",".120","89.5","-1.3",5.2
"Plesac, Zach","668676","2019",".274",".477",".348",".340",".203","89.6","14.4",8.1
"Gallen, Zac","668678","2019",".213",".354",".290",".307",".141","87","13.7",5.6
"Bieber, Shane","669456","2019",".236",".417",".295",".277",".182","90.6","12.6",8.5
"Richards, Trevor","670950","2019",".235",".410",".312",".318",".175","88.5","17.8",6.4
"Margevicius, Nick","676606","2019",".292",".502",".362",".352",".211","88.5","10.3",7
